Group,Model,loss,val_loss,mae,mape,val_mae,val_mape,learning_rate
1 old,bidirectional,0.0528377927839756,0.052518635988235474,,,,,
1 old,deep_rnn,0.0526784248650074,0.05129854381084442,,,,,
1 old,gru,0.052075836807489395,0.0518873892724514,,,,,
1 old,lstm,0.05210079252719879,0.051221173256635666,,,,,
1 old,rnn,0.05238255858421326,0.05432593822479248,,,,,
2 new,training_history_two,0.05258556082844734,0.051489729434251785,0.18532578647136688,79405.8359375,0.1862989366054535,174.7955780029297,
2 new,training_history_four,0.0531347282230854,0.05215360224246979,0.18529453873634338,73450.5078125,0.1857200413942337,165.39935302734375,
2 new,training_history_three,0.052782345563173294,0.05282587185502052,0.18614108860492706,80252.125,0.19445182383060455,156.3452606201172,
2 new,training,0.052272628992795944,0.05286012589931488,0.1855849325656891,76727.6171875,0.19492116570472717,166.9400177001953,
2 new,training_history_five,0.052958425134420395,0.052233755588531494,0.18520905077457428,78700.140625,0.1846373975276947,166.57711791992188,
3 alt_model,bidirectional,0.0277837123721838,0.026280775666236877,,,,,
3 alt_model,gru,0.023173324763774872,0.02406332828104496,,,,,
3 alt_model,lstm,0.024292441084980965,0.02275301329791546,,,,,
4 alt_new_model,gru,0.02581973560154438,0.05807052552700043,,,,,0.0002500000118743628
4 alt_new_model,bidirectional,0.028246939182281494,0.032861802726984024,,,,,0.0010000000474974513
4 alt_new_model,cnn,0.024864818900823593,0.06350492686033249,,,,,0.0002500000118743628
4 alt_new_model,ensemble,0.02022184617817402,0.06310085207223892,,,,,0.0002500000118743628
4 alt_new_model,lstm,0.027903728187084198,0.04922780394554138,,,,,0.0002500000118743628
